"rank","journalname","jcryear","abbrjournal","issn","eissn","totalcites","totalarticles","citableitems","citedhalflife","citinghalflife","jif2019","url_revista"
"1","CA-A CANCER JOURNAL FOR CLINICIANS","2023","CA-CANCER J CLIN","0007-9235","1542-4863","65911","10","25","3.4","5.6","503.1",
"2","NATURE REVIEWS DRUG DISCOVERY","2023","NAT REV DRUG DISCOV","1474-1776","1474-1784","48152","7","37","6.6","4.9","122.7",
"3","LANCET","2023","LANCET","0140-6736","1474-547X","336057","166","218","7.4","4.5","98.4",
"4","NEW ENGLAND JOURNAL OF MEDICINE","2023","NEW ENGL J MED","0028-4793","1533-4406","404835","257","300","8.0","5.0","96.2",
"5","BMJ-British Medical Journal","2023","BMJ-BRIT MED J","0959-535X","1756-1833","163066","125","162","8.6","3.9","93.6",
"6","NATURE REVIEWS MOLECULAR CELL BIOLOGY","2023","NAT REV MOL CELL BIO","1471-0072","1471-0080","65632","1","52","7.4","7.0","81.3",
"7","Nature Reviews Clinical Oncology","2023","NAT REV CLIN ONCOL","1759-4774","1759-4782","27709","7","51","4.6","4.6","81.1",
"8","Nature Reviews Materials","2023","NAT REV MATER","2058-8437","2058-8437","35616","10","49","4.7","4.9","79.8",
"9","Nature Reviews Disease Primers","2023","NAT REV DIS PRIMERS","2056-676X","2056-676X","31331","37","40","5.3","7.1","76.9",
"10","NATURE REVIEWS CANCER","2023","NAT REV CANCER","1474-175X","1474-1768","59496","3","45","9.6","6.4","72.5",
"11","NATURE REVIEWS MICROBIOLOGY","2023","NAT REV MICROBIOL","1740-1526","1740-1534","53193","0","51","7.0","5.1","69.2",
"12","NATURE REVIEWS IMMUNOLOGY","2023","NAT REV IMMUNOL","1474-1733","1474-1741","61956","7","50","8.2","6.5","67.7",
"13","Foundations and Trends in Machine Learning","2023","FOUND TRENDS MACH LE","1935-8237","1935-8245","3740","6","6","8.4","6.2","65.3",
"14","JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","2023","JAMA-J AM MED ASSOC","0098-7484","1538-3598","189853","181","236","8.1","5.5","63.1",
"15","World Psychiatry","2023","WORLD PSYCHIATRY","1723-8617","2051-5545","12036","13","21","5.9","5.9","60.5",
"16","NATURE MEDICINE","2023","NAT MED","1078-8956","1546-170X","129261","282","295","5.9","4.7","58.7",
"17","ANNALS OF ONCOLOGY","2023","ANN ONCOL","0923-7534","1569-8041","64002","68","72","5.9","4.7","56.7",
"18","CHEMICAL REVIEWS","2023","CHEM REV","0009-2665","1520-6890","230794","0","219","8.0","7.0","51.4",
"19","NATURE","2023","NATURE","0028-0836","1476-4687","912552","1129","1141","10.1","6.9","50.5",
"20","Nature Reviews Methods Primers","2023","NAT REV METHOD PRIME","N/A","2662-8449","4515","38","49","2.1","7.1","50.1",
"21","Nature Energy","2023","NAT ENERGY","2058-7546","2058-7546","46820","112","118","4.4","4.5","49.7",
"21","Nature Reviews Earth & Environment","2023","NAT REV EARTH ENV","N/A","2662-138X","8321","17","55","2.5","6.5","49.7",
"23","CANCER CELL","2023","CANCER CELL","1535-6108","1878-3686","52068","108","120","7.1","5.7","48.8",
"24","LANCET NEUROLOGY","2023","LANCET NEUROL","1474-4422","1474-4465","47501","46","64","7.3","4.4","46.5",
"25","Nature Reviews Gastroenterology & Hepatology","2023","NAT REV GASTRO HEPAT","1759-5045","1759-5053","26749","15","55","4.8","5.3","45.9",
"25","REVIEWS OF MODERN PHYSICS","2023","REV MOD PHYS","0034-6861","1539-0756","57818","0","35","14.3","10.0","45.9",
"27","CELL","2023","CELL","0092-8674","1097-4172","305198","298","332","8.9","6.8","45.5",
"28","Nature Reviews Physics","2023","NAT REV PHYS","N/A","2522-5820","8134","0","53","2.9","5.9","44.8",
"29","SCIENCE","2023","SCIENCE","0036-8075","1095-9203","763009","665","714","11.3","6.6","44.7",
"30","Lancet Diabetes & Endocrinology","2023","LANCET DIABETES ENDO","2213-8587","2213-8595","19590","42","57","4.6","5.9","44.0",
"31","eScience","2023","ESCIENCE","N/A","2667-1417","3827","42","59","1.6","3.9","42.9",
"32","Nature Catalysis","2023","NAT CATAL","2520-1158","2520-1158","25392","103","106","3.7","6.0","42.8",
"33","JOURNAL OF CLINICAL ONCOLOGY","2023","J CLIN ONCOL","0732-183X","1527-7755","169257","464","479","8.0","6.5","42.1",
"34","Nature Reviews Cardiology","2023","NAT REV CARDIOL","1759-5002","1759-5010","18575","14","55","4.5","6.6","41.7",
"35","LANCET ONCOLOGY","2023","LANCET ONCOL","1470-2045","1474-5488","72752","98","126","6.3","4.8","41.6",
"36","Signal Transduction and Targeted Therapy","2023","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","29874","164","272","2.6","6.2","40.8",
"37","CHEMICAL SOCIETY REVIEWS","2023","CHEM SOC REV","0306-0012","1460-4744","174686","0","250","7.2","5.8","40.4",
"38","NATURE REVIEWS GENETICS","2023","NAT REV GENET","1471-0056","1471-0064","40757","0","48","9.4","5.3","39.1",
"39","Lancet Respiratory Medicine","2023","LANCET RESP MED","2213-2600","N/A","24191","59","62","3.6","3.7","38.7",
"40","Joule","2023","JOULE","2542-4351","2542-4351","38070","136","155","3.9","4.2","38.6",
"41","Nature Nanotechnology","2023","NAT NANOTECHNOL","1748-3387","1748-3395","76128","173","181","7.1","5.6","38.1",
"41","Nature Reviews Chemistry","2023","NAT REV CHEM","N/A","2397-3358","12247","0","51","3.9","6.9","38.1",
"43","EUROPEAN HEART JOURNAL","2023","EUR HEART J","0195-668X","1522-9645","84437","202","244","5.6","5.3","37.6",
"44","MMWR Surveillance Summaries","2023","MMWR SURVEILL SUMM","1545-8636","1545-8636","3442","7","7","5.8","5.1","37.3",
"45","NATURE MATERIALS","2023","NAT MATER","1476-1122","1476-4660","108002","164","167","8.2","6.2","37.2",
"46","LANCET INFECTIOUS DISEASES","2023","LANCET INFECT DIS","1473-3099","1474-4457","41047","113","135","4.4","3.9","36.4",
"47","NATURE METHODS","2023","NAT METHODS","1548-7091","1548-7105","112995","188","193","8.0","5.4","36.1",
"48","CIRCULATION","2023","CIRCULATION","0009-7322","1524-4539","173789","239","245","10.9","6.5","35.5",
"49","ADVANCES IN PHYSICS","2023","ADV PHYS","0001-8732","1460-6976","5882","0","4","21.2","17.0","35.0",
"50","IEEE Communications Surveys and Tutorials","2023","IEEE COMMUN SURV TUT","N/A","1553-877X","27842","78","81","5.0","4.4","34.4",
"51","Nature Electronics","2023","NAT ELECTRON","2520-1131","2520-1131","15284","84","90","3.3","5.1","33.7",
"52","PROGRESS IN MATERIALS SCIENCE","2023","PROG MATER SCI","0079-6425","1873-2208","29821","0","97","5.8","6.3","33.6",
"53","Innovation","2023","INNOVATION-AMSTERDAM","2666-6758","2666-6758","5342","47","61","2.4","4.7","33.2",
"54","NATURE BIOTECHNOLOGY","2023","NAT BIOTECHNOL","1087-0156","1546-1696","90606","165","167","7.2","5.7","33.1",
"55","Energy & Environmental Science","2023","ENERG ENVIRON SCI","1754-5692","1754-5706","110768","411","481","5.5","3.8","32.4",
"56","Nature Photonics","2023","NAT PHOTONICS","1749-4885","1749-4893","54824","124","129","7.5","6.1","32.3",
"57","PROGRESS IN ENERGY AND COMBUSTION SCIENCE","2023","PROG ENERG COMBUST","0360-1285","1873-216X","17065","0","29","8.1","6.8","32.0",
"58","NATURE GENETICS","2023","NAT GENET","1061-4036","1546-1718","104387","205","206","9.7","6.3","31.7",
"59","Nano-Micro Letters","2023","NANO-MICRO LETT","2311-6706","2150-5551","24745","166","235","2.5","3.8","31.6",
"59","MATERIALS SCIENCE & ENGINEERING R-REPORTS","2023","MAT SCI ENG R","0927-796X","1879-212X","9807","0","22","8.7","5.3","31.6",
"61","Nature Reviews Endocrinology","2023","NAT REV ENDOCRINOL","1759-5029","1759-5037","20965","14","50","5.6","6.6","31.0",
"62","Lancet Gastroenterology & Hepatology","2023","LANCET GASTROENTEROL","N/A","2468-1253","13312","47","70","3.3","4.4","30.9",
"63","Lancet Psychiatry","2023","LANCET PSYCHIAT","2215-0374","N/A","19411","46","66","4.2","5.3","30.8",
"64","Physiological Reviews","2023","PHYSIOL REV","0031-9333","1522-1210","36950","0","71","11.0","10.2","29.9",
"65","Cancer Discovery","2023","CANCER DISCOV","2159-8274","2159-8290","33545","106","117","4.8","6.0","29.7",
"66","Nature Climate Change","2023","NAT CLIM CHANGE","1758-678X","1758-6798","46843","139","145","6.3","5.5","29.6",
"67","Journal of Hematology & Oncology","2023","J HEMATOL ONCOL","N/A","1756-8722","22387","25","70","3.7","4.7","29.5",
"68","Nature Reviews Rheumatology","2023","NAT REV RHEUMATOL","1759-4790","1759-4804","15825","12","51","6.3","6.4","29.4",
"69","NATURE REVIEWS NEUROSCIENCE","2023","NAT REV NEUROSCI","1471-003X","1471-0048","46285","0","43","11.7","8.1","28.7",
"70","Advanced Powder Materials","2023","ADV POWDER MATER","N/A","2772-834X","1723","42","42","1.2","4.6","28.6",
"70","Nature Reviews Nephrology","2023","NAT REV NEPHROL","1759-5061","1759-507X","16046","6","56","5.1","6.7","28.6",
"72","Annual Review of Pathology-Mechanisms of Disease","2023","ANNU REV PATHOL-MECH","1553-4006","1553-4014","8517","0","22","7.2","7.1","28.4",
"72","Electrochemical Energy Reviews","2023","ELECTROCHEM ENERGY R","2520-8489","2520-8136","4343","0","32","3.1","6.0","28.4",
"74","Nature Reviews Neurology","2023","NAT REV NEUROL","1759-4758","1759-4766","19986","5","44","5.7","6.4","28.2",
"75","CELL RESEARCH","2023","CELL RES","1001-0602","1748-7838","27759","50","52","6.7","6.8","28.1",
"76","ASTRONOMY AND ASTROPHYSICS REVIEW","2023","ASTRON ASTROPHYS REV","0935-4956","1432-0754","2942","0","5","9.0","8.8","27.8",
"77","Cell Metabolism","2023","CELL METAB","1550-4131","1932-7420","58139","117","132","7.0","6.7","27.7",
"77","Molecular Cancer","2023","MOL CANCER","N/A","1476-4598","36560","81","165","4.3","5.1","27.7",
"77","NATURE IMMUNOLOGY","2023","NAT IMMUNOL","1529-2908","1529-2916","54409","142","157","8.6","6.4","27.7",
"80","ADVANCED MATERIALS","2023","ADV MATER","0935-9648","1521-4095","392263","2512","2889","4.8","4.6","27.4",
"81","eLight","2023","ELIGHT","2097-1710","2662-8643","1077","17","22","1.5","5.7","27.2",
"82","INTENSIVE CARE MEDICINE","2023","INTENS CARE MED","0342-4642","1432-1238","30470","67","80","7.1","5.2","27.1",
"83","Annual Review of Immunology","2023","ANNU REV IMMUNOL","0732-0582","1545-3278","18947","0","23","11.6","6.3","26.9",
"84","JOURNAL OF HEPATOLOGY","2023","J HEPATOL","0168-8278","1600-0641","62886","162","196","5.8","5.7","26.8",
"84","Nature Biomedical Engineering","2023","NAT BIOMED ENG","2157-846X","2157-846X","16578","115","117","3.5","6.1","26.8",
"86","Living Reviews in Relativity","2023","LIVING REV RELATIV","2367-3613","1433-8351","3904","0","5","10.9","8.0","26.3",
"86","Annual Review of Astronomy and Astrophysics","2023","ANNU REV ASTRON ASTR","0066-4146","1545-4282","15350","0","12","12.8","8.6","26.3",
"88","Science Robotics","2023","SCI ROBOT","2470-9476","2470-9476","11700","54","58","4.1","6.6","26.1",
"89","PROGRESS IN POLYMER SCIENCE","2023","PROG POLYM SCI","0079-6700","1873-1619","27463","0","50","9.9","6.7","26.0",
"90","Gastroenterology","2023","GASTROENTEROLOGY","0016-5085","1528-0012","90123","151","165","8.5","6.1","25.7",
"90","Nature Sustainability","2023","NAT SUSTAIN","2398-9629","2398-9629","18380","143","146","3.5","5.3","25.7",
"92","Immunity","2023","IMMUNITY","1074-7613","1097-4180","72423","142","165","7.9","6.8","25.5",
"93","Lancet Public Health","2023","LANCET PUBLIC HEALTH","2468-2667","2468-2667","10780","76","86","3.3","5.1","25.4",
