last_update;lattes_id;name
2026/03/18 16:03:58.000;;lorenad`oliveiragusmao
2026/04/01 17:53:08.000;;brunochavescorreia-lima
2023/04/03 16:31:48.000;;wiltonvalencadasilvajunior-tomvalenca
2026/04/10 09:02:12.000;;ludmillacarvalhorangel
2026/04/29 16:04:12.000;;marceloo donnellkrause
2025/04/16 05:38:49.000;;angeloaugustophilocreondecastro-lima
2025/03/14 12:20:11.000;;edsono'dwyerjunior
2026/05/08 17:36:31.000;;marlenebarretosantos
2026/05/08 17:36:31.000;;marlenebarretosantos
2025/03/04 16:46:03.000;;gilsonsoaresfeitosa-filho
2026/05/14 20:34:22.000;;julianasilvestresilva
2024/05/18 05:30:06.000;;danielbahianopedral-sampaio
2024/02/08 23:16:38.000;;jorgechaves
2026/01/16 14:40:13.000;;josemauriciosento-sedecarvalho
2026/04/20 17:07:20.000;;lailavasconceloshage
2013/01/08 12:38:12.000;;lucasd'elioncorreialimeira
2026/04/06 15:59:04.000;;angelinapandita-pereira
2023/03/03 18:22:01.000;;cinthiabatistanunes
2026/01/18 20:02:02.000;;jonasbrito
2026/03/12 17:39:06.000;;gilmard'oliveirasilva
2024/08/29 21:00:08.000;;mariaaparecidapereiravitorio
2026/03/21 14:23:17.000;;veronycakezyasantossousa
2026/03/31 09:54:20.000;;kamillanunesfonseca-reis
2026/05/07 15:46:17.000;;analuizabarretodeoliveira
2024/05/22 09:45:50.000;;giselinovaisdasilva
2026/04/24 11:54:24.000;;sagidsallesferreira
2020/08/17 09:17:18.000;;leilaneferreiraribeiro
2026/03/24 15:01:13.000;;marinamellodemenezesfelixdesouzasilva
2026/03/22 21:12:24.000;;cassiodossantos-lima
2022/07/12 17:41:04.000;;lucianaargolocorreiaalves
2025/07/22 20:47:18.000;;mariaconsuelod'almeidanunezfilha
2026/03/27 12:14:46.000;;rebecadesouzavasconcelos
2025/05/01 13:42:37.000;;teilarochalinsd'albuquerque
2026/04/19 11:58:21.000;;telmacristinadamascenosilva-fath
2022/06/04 21:37:41.000;;iraniparolinsant'ana
2025/04/25 18:47:30.000;;alessandrabuonavogliacosta-pinto
2025/02/17 18:54:23.000;;robertnewtonsilvahenriquesmagalhaes
2025/10/17 14:48:40.000;;flaviadasilvavillas-boas
2024/09/17 13:52:30.000;;marcusnicholasesquivelfonseca
2026/03/31 18:57:35.000;;osnildoadaowan-dalljunior
2025/03/11 15:40:56.000;;danielapereiracontelli
2026/04/14 18:47:20.000;;ritadecassiasouzadequeiroz
2020/05/09 15:37:56.000;;mariaisabelnascimentolopes
2024/09/18 21:32:54.000;;edsonkayapo
2026/05/27 00:00:32.000;;leonardorangel
2026/03/01 12:36:33.000;;andreabrito
2018/07/23 23:25:30.000;;angelicasantosreis
2014/07/15 17:53:10.000;;carlosd'alexandriabruni
2026/03/28 20:19:02.000;;cristianoraykil
2014/03/24 15:40:54.000;;elenisebarretobarbosadaanunciacao
2019/09/23 15:33:30.000;;ianalimadealmeidabarros
2026/04/13 11:24:29.000;;lucianasoaresdeandradefreitasoliveira
2025/05/03 13:31:35.000;;marcosgilbertodos-santos
2023/10/24 19:09:42.000;;mariaantonietapereiradealmeidasantiago
2020/09/19 18:50:55.000;;suelidosprazeressantospereira
2026/03/05 15:01:46.000;;valmorehenriquepereiradossantos
2021/02/28 12:54:52.000;;sandiraliviamoraesfonsecadejesus
2026/02/03 13:41:54.000;;ritamariawestenano
2026/05/19 21:27:45.000;;allinedejesuspimentel
2023/04/14 14:10:20.000;;nubiacristinaoliveirasilva
2026/01/29 15:04:44.000;;aldemirinacioazevedo
2026/01/29 15:04:44.000;;aldemirinacioazevedo
